loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,income_to_loan_ratio,total_assets,loan_status_encoded,cibil_range,loan_to_income_ratio,lti_range,loan_status_numeric,education_numeric,self_employed_numeric
1,2,Graduate,No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,Approved,0.3210702341137124,50700000,1,Very Good (750-800),3.1145833333333335,Low (2-4x),1,1,0
2,0,Not Graduate,Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,Rejected,0.3360655737704918,17000000,0,Poor (0-600),2.975609756097561,Low (2-4x),0,0,1
3,3,Graduate,No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,Rejected,0.3063973063973064,57700000,0,Poor (0-600),3.2637362637362637,Low (2-4x),0,1,0
4,3,Graduate,No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,Rejected,0.2671009771986971,52700000,0,Poor (0-600),3.7439024390243905,Low (2-4x),0,1,0
5,5,Not Graduate,Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,Rejected,0.4049586776859504,55000000,0,Poor (0-600),2.4693877551020407,Low (2-4x),0,0,1
6,0,Graduate,Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,Rejected,0.3555555555555555,33900000,0,Poor (0-600),2.8125,Low (2-4x),0,1,1
7,5,Graduate,No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,Approved,0.2636363636363636,70800000,1,Fair (600-700),3.793103448275862,Low (2-4x),1,1,0
8,2,Graduate,Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,Rejected,0.38,36700000,0,Poor (0-600),2.6315789473684212,Low (2-4x),0,1,1
9,0,Graduate,Yes,800000,2200000,20,782,1300000,800000,2800000,600000,Approved,0.3636363636363636,5500000,1,Very Good (750-800),2.75,Low (2-4x),1,1,1
10,5,Not Graduate,No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,Rejected,0.2558139534883721,9500000,0,Poor (0-600),3.909090909090909,Low (2-4x),0,0,0
11,4,Graduate,Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,Approved,0.2589285714285714,25400000,1,Poor (0-600),3.8620689655172415,Low (2-4x),1,1,1
